season;team_api_id;player_id
2008/2009;9993;34334
2008/2009;8635;33620
2008/2009;9998;31810
2008/2009;9998;40008
2008/2009;9986;38423
2008/2009;9984;12692
2008/2009;9991;104382
2008/2009;9993;42812
2008/2009;9993;41021
2008/2009;9993;38792
2008/2009;9987;38789
2008/2009;9987;20445
2008/2009;9987;38794
2008/2009;10000;37100
2008/2009;8203;39573
2008/2009;8203;38791
2008/2009;8203;17276
2008/2009;9996;148308
2008/2009;4049;148297
2008/2009;4049;39157
2008/2009;9985;38797
2008/2009;9985;148335
2008/2009;9986;104389
2008/2009;9984;37038
2008/2009;9991;37854
2008/2009;9991;39875
2008/2009;9999;32637
2008/2009;8571;149279
2008/2009;8571;148327
2008/2009;8571;37900
2008/2009;9993;94308
2008/2009;8342;37988
2008/2009;8342;38342
2008/2009;8342;37979
2008/2009;9987;39498
2008/2009;9991;12473
2008/2009;9991;38233
2008/2009;9985;39580
2008/2009;9986;167619
2008/2009;9994;15425
2008/2009;9994;38285
2008/2009;8571;33660
2008/2009;8342;38441
2008/2009;10000;131532
2008/2009;10000;37902
2008/2009;9985;156551
2008/2009;9985;26224
2008/2009;9998;148311
2008/2009;9996;39896
2008/2009;9996;166679
2008/2009;9996;148960
2008/2009;8571;78902
2008/2009;9993;131408
2009/2010;9997;37868
2009/2010;9997;149260
2009/2010;9997;33595
2009/2010;9997;38347
2009/2010;9997;3329
2009/2010;9997;149150
2009/2010;9997;38354
2009/2010;9997;37866
2009/2010;9997;36836
2009/2010;9997;5016
2009/2010;9997;45490
2009/2010;8342;37990
2009/2010;8342;37967
2009/2010;8342;11736
2009/2010;8342;37858
2009/2010;8342;42594
2009/2010;8342;37963
2009/2010;8342;37983
2009/2010;8342;37979
2009/2010;8342;38336
2009/2010;8342;38366
2009/2010;8342;52280
2009/2010;8342;38440
2009/2010;9991;104378
2009/2010;9991;37065
2009/2010;9991;38337
2009/2010;9991;38255
2009/2010;9991;12473
2009/2010;9991;41109
2009/2010;9991;33662
2009/2010;9991;37044
2009/2010;9991;26916
2009/2010;9991;12574
2009/2010;9991;46335
2009/2010;10000;37900
2009/2010;10000;131530
2009/2010;10000;37100
2009/2010;10000;37903
2009/2010;10000;37889
2009/2010;10000;94030
2009/2010;10000;37902
2009/2010;10000;37886
2009/2010;10000;37981
2009/2010;10000;131531
2009/2010;10000;75500
2009/2010;10000;130027
2009/2010;8635;38391
2009/2010;8635;38798
2009/2010;8635;33620
2009/2010;8635;38388
2009/2010;8635;13423
2009/2010;8635;38389
2009/2010;8635;38378
2009/2010;8635;38383
2009/2010;8635;38393
2009/2010;8635;38253
2009/2010;8635;37069
2009/2010;8635;46552
2009/2010;10001;38341
2009/2010;10001;179058
2009/2010;10001;38349
2009/2010;10001;37953
2009/2010;10001;38339
2009/2010;10001;67896
2009/2010;10001;38343
2009/2010;10001;30404
2009/2010;10001;38332
2009/2010;10001;17883
2009/2010;10001;47410
2009/2010;9993;13131
2009/2010;9993;34334
2009/2010;9993;36849
2009/2010;9993;36845
2009/2010;9993;38322
2009/2010;9993;38371
2009/2010;9993;30910
2009/2010;9993;38784
2009/2010;9993;36868
2009/2010;9993;38786
2009/2010;9993;33622
2009/2010;8635;106013
2009/2010;8635;12692
2009/2010;9987;37937
2009/2010;9987;32690
2009/2010;9987;38785
2009/2010;9987;38293
2009/2010;9987;94462
2009/2010;9987;148313
2009/2010;9987;32863
2009/2010;9987;38435
2009/2010;9987;43158
2009/2010;9987;148314
2009/2010;9987;42153
2009/2010;10000;37893
2009/2010;10000;38231
2009/2010;10000;104377
2009/2010;8571;37971
2009/2010;8571;38434
2009/2010;8571;37887
2009/2010;8571;6803
2009/2010;8571;38441
2009/2010;8571;131404
2009/2010;8571;38249
2009/2010;8571;38257
2009/2010;8571;40521
2009/2010;8571;149279
2009/2010;8571;39772
2009/2010;8571;78902
2009/2010;9994;38289
2009/2010;9994;15425
2009/2010;9994;38292
2009/2010;9994;39594
2009/2010;9994;25465
2009/2010;9994;38273
2009/2010;9994;38945
2009/2010;9994;38290
2009/2010;9994;95609
2009/2010;9994;15662
2009/2010;9994;34334
2009/2010;9994;69629
2009/2010;9984;131403
2009/2010;9984;38782
2009/2010;9984;38342
2009/2010;9984;37047
2009/2010;9984;38789
2009/2010;9984;38186
2009/2010;9984;27110
2009/2010;9984;37051
2009/2010;9984;104386
2009/2010;9984;78462
2009/2010;9984;38357
2009/2010;10001;43049
2009/2010;10001;21834
2009/2010;10001;37025
2009/2010;10001;182605
2009/2010;10001;39848
2009/2010;10001;25619
2009/2010;9991;104382
2009/2010;9991;32760
2009/2010;9986;40014
2009/2010;9986;20445
2009/2010;9986;39145
2009/2010;9986;39977
2009/2010;9986;46666
2009/2010;9986;38423
2009/2010;9986;38439
2009/2010;9986;104389
2009/2010;9986;25636
2009/2010;9986;38920
2009/2010;9986;38419
2009/2010;8203;39573
2009/2010;8203;38799
2009/2010;8203;67950
2009/2010;8203;6800
2009/2010;8203;39389
2009/2010;8203;164352
2009/2010;8203;67898
2009/2010;8203;37112
2009/2010;8203;38969
2009/2010;8203;178291
2009/2010;8203;17276
2009/2010;8203;148286
2009/2010;9993;37988
2009/2010;9993;36852
2009/2010;9993;178284
2009/2010;9984;37021
2009/2010;9984;37957
2009/2010;9984;38251
2009/2010;9999;38318
2009/2010;9999;106369
2009/2010;9999;38247
2009/2010;9999;94288
2009/2010;9999;69805
2009/2010;9999;94284
2009/2010;9999;26669
2009/2010;9999;33671
2009/2010;9999;148336
2009/2010;9999;37945
2009/2010;9999;24037
2009/2010;9985;38797
2009/2010;9985;46890
2009/2010;9985;25995
2009/2010;9985;37861
2009/2010;9985;47411
2009/2010;9985;129462
2009/2010;9985;32573
2009/2010;9985;37262
2009/2010;9985;35412
2009/2010;9985;26224
2009/2010;9985;148335
2009/2010;9985;38369
2009/2010;9991;27838
2009/2010;9991;38233
2009/2010;9991;166618
2009/2010;10001;38778
2009/2010;8571;39859
2009/2010;8571;16387
2009/2010;8571;148315
2009/2010;9987;39498
2009/2010;9987;163674
2009/2010;8635;69713
2009/2010;8635;181276
2009/2010;8342;36832
2009/2010;8342;21812
2009/2010;8342;95614
2009/2010;8342;39578
2009/2010;8342;163670
2009/2010;8342;75405
2009/2010;9997;104415
2009/2010;9997;68120
2009/2010;9994;11569
2009/2010;9994;14642
2009/2010;9994;12099
2009/2010;9994;104404
2009/2010;9994;166675
2009/2010;9984;37909
2009/2010;9984;89548
2009/2010;9986;38417
2009/2010;9986;37571
2009/2010;9986;185388
2009/2010;9993;38800
2009/2010;9999;23997
2009/2010;9999;173432
2009/2010;8571;95615
2009/2010;9993;41106
2009/2010;8203;38791
2009/2010;8203;67941
2009/2010;9985;159888
2009/2010;9985;39591
2009/2010;9985;156551
2009/2010;9985;166302
2009/2010;9987;148327
2009/2010;9986;167619
2009/2010;9986;40520
2009/2010;9986;164732
2009/2010;8571;33685
2009/2010;9985;119117
2009/2010;9985;39580
2009/2010;9985;178484
2009/2010;9984;166670
2009/2010;8203;67957
2009/2010;8203;67952
2009/2010;10001;166584
2009/2010;10000;131532
2009/2010;10000;26741
2009/2010;9991;27421
2009/2010;9991;39875
2009/2010;9991;148329
2009/2010;9999;148338
2009/2010;9984;36835
2009/2010;9984;37038
2009/2010;9987;38794
2009/2010;8635;148302
2009/2010;9986;131409
2009/2010;9985;39631
2009/2010;9985;25957
2009/2010;9993;38380
2009/2010;9993;166676
2009/2010;9994;30934
2009/2010;9994;30485
2009/2010;9984;32863
2009/2010;9987;104411
2009/2010;9987;9307
2009/2010;9987;169200
2009/2010;8203;38327
2009/2010;8203;38801
2009/2010;8571;67939
2009/2010;10001;50160
2009/2010;9999;46217
2009/2010;9987;91929
2009/2010;9985;37972
2009/2010;9986;104388
2009/2010;9987;20445
2009/2010;9987;150510
2009/2010;8203;67959
2009/2010;8203;26502
2009/2010;8342;39878
2009/2010;9997;38365
2009/2010;9999;129278
2009/2010;9999;25619
2009/2010;9985;37983
2009/2010;9997;178486
2009/2010;9985;38795
2009/2010;8342;27508
2009/2010;9993;69629
2009/2010;9993;166679
2009/2010;8635;31316
2009/2010;9994;30910
2009/2010;8342;166575
2009/2010;10000;107416
2009/2010;9985;186621
2009/2010;9984;178249
2009/2010;8342;27423
2009/2010;9987;170323
2009/2010;9991;26116
2009/2010;9987;178276
2009/2010;9994;17703
2009/2010;10001;38348
2009/2010;10001;192907
2009/2010;8342;34025
2009/2010;8635;30949
2009/2010;9994;110140
2009/2010;8342;31226
2009/2010;9999;45832
2009/2010;10000;66583
2009/2010;10001;166663
2010/2011;9989;20747
2010/2011;9989;41971
2010/2011;9989;36844
2010/2011;9989;39931
2010/2011;9989;6798
2010/2011;9989;38788
2010/2011;9989;127255
2010/2011;9989;148336
2010/2011;9989;68116
2010/2011;9989;41137
2010/2011;9989;24111
2010/2011;8342;37990
2010/2011;8342;38440
2010/2011;8342;36832
2010/2011;8342;21812
2010/2011;8342;42594
2010/2011;8342;47411
2010/2011;8342;39578
2010/2011;8342;37979
2010/2011;8342;38366
2010/2011;8342;163670
2010/2011;8342;75405
2010/2011;9994;30934
2010/2011;9994;24621
2010/2011;9994;45500
2010/2011;9994;25791
2010/2011;9994;94030
2010/2011;9994;30910
2010/2011;9994;67898
2010/2011;9994;42706
2010/2011;9994;104404
2010/2011;9994;166675
2010/2011;9994;104406
2010/2011;9991;104378
2010/2011;9991;185196
2010/2011;9991;38255
2010/2011;9991;12473
2010/2011;9991;41109
2010/2011;9991;27421
2010/2011;9991;26916
2010/2011;9991;166618
2010/2011;9991;39875
2010/2011;9991;37065
2010/2011;9991;148329
2010/2011;6351;67949
2010/2011;6351;39984
2010/2011;6351;45413
2010/2011;6351;181051
2010/2011;6351;7683
2010/2011;6351;150396
2010/2011;6351;25751
2010/2011;6351;118666
2010/2011;6351;181054
2010/2011;6351;6771
2010/2011;6351;39312
2010/2011;6351;5468
2010/2011;10000;37900
2010/2011;10000;181596
2010/2011;10000;37903
2010/2011;10000;37889
2010/2011;10000;131532
2010/2011;10000;131404
2010/2011;10000;37893
2010/2011;10000;37902
2010/2011;10000;130027
2010/2011;10000;208984
2010/2011;10000;38231
2010/2011;10000;38419
2010/2011;9986;104388
2010/2011;9986;208635
2010/2011;9986;39977
2010/2011;9986;93054
2010/2011;9986;46666
2010/2011;9986;39145
2010/2011;9986;26613
2010/2011;9986;20445
2010/2011;9986;45469
2010/2011;9986;38920
2010/2011;9986;25636
2010/2011;9993;13131
2010/2011;9993;31316
2010/2011;9993;37988
2010/2011;9993;36849
2010/2011;9993;38322
2010/2011;9993;38800
2010/2011;9993;38371
2010/2011;9993;38784
2010/2011;9993;36868
2010/2011;9993;38786
2010/2011;9993;200631
2010/2011;9993;36852
2010/2011;9991;38233
2010/2011;9991;38337
2010/2011;9991;115373
2010/2011;9991;33662
2010/2011;9991;37044
2010/2011;9991;12574
2010/2011;8635;38391
2010/2011;8635;114333
2010/2011;8635;38388
2010/2011;8635;38389
2010/2011;8635;38253
2010/2011;8635;69713
2010/2011;8635;30949
2010/2011;8635;38393
2010/2011;8635;38383
2010/2011;8635;46552
2010/2011;8635;181276
2010/2011;10001;38341
2010/2011;10001;192907
2010/2011;10001;43049
2010/2011;10001;37953
2010/2011;10001;38339
2010/2011;10001;67896
2010/2011;10001;38343
2010/2011;10001;37968
2010/2011;10001;21834
2010/2011;10001;38778
2010/2011;10001;67890
2010/2011;10001;37967
2010/2011;9986;93344
2010/2011;9986;36863
2010/2011;9986;38732
2010/2011;9993;131408
2010/2011;9993;57078
2010/2011;9993;104386
2010/2011;9993;166676
2010/2011;9993;39875
2010/2011;9993;150271
2010/2011;6351;69825
2010/2011;6351;208710
2010/2011;6351;37841
2010/2011;6351;38792
2010/2011;6351;39180
2010/2011;6351;41659
2010/2011;9987;170323
2010/2011;9987;170274
2010/2011;9987;38785
2010/2011;9987;38293
2010/2011;9987;104411
2010/2011;9987;148314
2010/2011;9987;39498
2010/2011;9987;43158
2010/2011;9987;127191
2010/2011;9987;169200
2010/2011;9987;42153
2010/2011;9987;38782
2010/2011;9984;36835
2010/2011;9984;37957
2010/2011;9984;38342
2010/2011;9984;37047
2010/2011;9984;38789
2010/2011;9984;191787
2010/2011;9984;27110
2010/2011;9984;166670
2010/2011;9984;178249
2010/2011;9984;38357
2010/2011;9984;173449
2010/2011;9984;197570
2010/2011;8571;37971
2010/2011;8571;78902
2010/2011;8571;95614
2010/2011;8571;149279
2010/2011;8571;143442
2010/2011;8571;186621
2010/2011;8571;38249
2010/2011;8571;38945
2010/2011;8571;38257
2010/2011;8571;40521
2010/2011;8571;95615
2010/2011;8571;164732
2010/2011;9985;38797
2010/2011;9985;164229
2010/2011;9985;38795
2010/2011;9985;38441
2010/2011;9985;129462
2010/2011;9985;159888
2010/2011;9985;39631
2010/2011;9985;39591
2010/2011;9985;46335
2010/2011;9985;166302
2010/2011;9985;38382
